Age,Gender,Education Level,Job Title,Years of Experience,Salary
28.0,0,Bachelor's,Junior Business Development Associate,2.0,40000.0
51.0,0,Master's,Director of Operations,23.0,170000.0
31.0,0,Master's,Senior Financial Analyst,6.0,95000.0
32.0,0,Bachelor's,Junior Account Manager,5.0,55000.0
43.0,0,Master's,Senior Product Marketing Manager,14.0,120000.0
27.0,0,Bachelor's,Junior Business Development Associate,1.5,35000.0
39.0,0,Bachelor's,Senior Marketing Coordinator,9.0,110000.0
31.0,0,Bachelor's,Junior Operations Analyst,3.0,50000.0
35.0,0,Bachelor's,Senior Financial Manager,8.0,90000.0
29.0,0,Bachelor's,Junior Sales Representative,2.0,40000.0
40.0,0,Bachelor's,HR Manager,12.0,80000.0
33.0,0,Master's,Product Designer,6.0,90000.0
40.0,0,Bachelor's,HR Generalist,15.0,80000.0
38.0,0,Bachelor's,Senior Product Manager,10.0,120000.0
38.0,0,Bachelor's,Senior Business Analyst,10.0,110000.0
50.0,0,Bachelor's,Supply Chain Analyst,22.0,130000.0
38.0,0,Bachelor's,Senior Accountant,10.0,80000.0
30.0,0,Bachelor's,Junior HR Coordinator,2.0,40000.0
43.0,0,Bachelor's,Senior Project Manager,16.0,140000.0
45.0,0,PhD,Senior Data Analyst,17.0,155000.0
27.0,0,Bachelor's,Junior Account Manager,2.0,45000.0
34.0,0,Master's,Business Analyst,5.0,80000.0
29.0,0,Bachelor's,Junior Project Manager,2.0,40000.0
29.0,0,Bachelor's,Junior Business Development Associate,1.5,35000.0
29.0,0,Bachelor's,Junior Marketing Analyst,2.0,40000.0
36.0,0,Bachelor's,Senior Product Manager,8.0,95000.0
41.0,0,Master's,Senior Marketing Analyst,14.0,100000.0
45.0,0,PhD,Senior UX Designer,16.0,160000.0
31.0,0,Bachelor's,Junior Project Manager,4.0,60000.0
38.0,0,Bachelor's,Customer Service Manager,11.0,80000.0
29.0,0,Bachelor's,Junior Designer,2.0,40000.0
34.0,0,Master's,UX Designer,5.0,80000.0
29.0,0,Bachelor's,Junior Web Designer,3.0,45000.0
33.0,0,Master's,Senior Operations Manager,7.0,115000.0
41.0,0,Bachelor's,Senior Product Manager,14.0,150000.0
33.0,0,Master's,Marketing Manager,7.0,90000.0
29.0,0,Master's,Software Developer,3.0,75000.0
43.0,0,Master's,Director of Operations,19.0,170000.0
36.0,0,Bachelor's,Senior Marketing Manager,8.0,95000.0
30.0,0,Bachelor's,Junior Marketing Manager,4.0,50000.0
48.0,0,Master's,Director of Product Management,21.0,175000.0
42.0,0,Bachelor's,Senior Operations Manager,12.0,110000.0
41.0,0,Master's,Senior Marketing Manager,13.0,110000.0
40.0,0,Bachelor's,Senior Marketing Manager,12.0,130000.0
30.0,0,Bachelor's,Junior Marketing Coordinator,2.0,40000.0
31.0,0,Bachelor's,Junior Business Development Associate,3.0,50000.0
42.0,0,PhD,Senior Data Scientist,16.0,150000.0
38.0,0,Master's,Senior IT Consultant,9.0,110000.0
35.0,0,Bachelor's,Financial Analyst,6.0,65000.0
27.0,0,Master's,UX Researcher,2.0,65000.0
29.0,0,Bachelor's,Junior Business Analyst,1.5,40000.0
28.0,0,Master's,Data Analyst,3.0,65000.0
44.0,0,PhD,Senior Data Engineer,16.0,160000.0
42.0,0,Master's,Project Engineer,14.0,115000.0
35.0,0,Master's,Product Marketing Manager,8.0,95000.0
34.0,0,Master's,Senior Financial Advisor,6.0,80000.0
33.0,0,Bachelor's,Junior Business Analyst,4.0,60000.0
33.0,0,Bachelor's,Junior Business Analyst,4.0,60000.0
51.0,0,Master's,Director of Human Resources,21.0,190000.0
34.0,0,Bachelor's,Junior Marketing Analyst,6.0,70000.0
37.0,0,Master's,Software Manager,11.0,110000.0
39.0,0,Bachelor's,Senior Project Manager,12.0,130000.0
37.0,0,Bachelor's,Senior Business Development Manager,10.0,120000.0
29.0,0,Bachelor's,Junior Marketing Coordinator,2.0,40000.0
31.0,0,Bachelor's,Junior Social Media Specialist,3.0,45000.0
49.0,0,PhD,Director of Operations,21.0,180000.0
42.0,0,Master's,Senior Graphic Designer,15.0,110000.0
37.0,0,Master's,Senior Software Architect,9.0,120000.0
44.0,0,PhD,Senior UX Designer,15.0,145000.0
44.0,0,Bachelor's,Senior Software Engineer,14.0,130000.0
34.0,0,Master's,Senior Software Engineer,9.0,105000.0
46.0,0,PhD,Senior Data Scientist,18.0,160000.0
47.0,0,PhD,Senior Data Scientist,21.0,180000.0
50.0,0,PhD,Director of Operations,22.0,180000.0
27.0,0,Bachelor's,Junior Sales Representative,1.0,35000.0
31.0,0,Bachelor's,Junior Marketing Coordinator,3.0,55000.0
49.0,0,Master's,Director of Operations,21.0,180000.0
36.0,0,Bachelor's,Sales Associate,7.0,60000.0
26.0,0,Bachelor's,Junior Accountant,2.0,40000.0
33.0,0,Bachelor's,Junior Marketing Specialist,5.0,70000.0
36.0,0,Bachelor's,Recruiter,9.0,60000.0
48.0,0,Master's,Director of Marketing,21.0,180000.0
39.0,0,Bachelor's,Administrative Assistant,10.0,55000.0
31.0,0,Bachelor's,Marketing Coordinator,6.0,55000.0
46.0,0,PhD,Senior Researcher,18.0,150000.0
37.0,0,Bachelor's,Project Manager,10.0,95000.0
31.0,0,Bachelor's,Junior HR Generalist,4.0,50000.0
47.0,0,Master's,Director of Operations,19.0,170000.0
30.0,0,Bachelor's,Junior Social Media Manager,3.0,45000.0
37.0,0,Master's,Senior Marketing Analyst,9.0,95000.0
39.0,0,Bachelor's,Senior Sales Representative,12.0,90000.0
42.0,0,PhD,Senior Marketing Manager,13.0,140000.0
31.0,0,Bachelor's,Customer Service Representative,5.0,45000.0
50.0,0,Bachelor's,Operations Manager,22.0,160000.0
41.0,0,Bachelor's,Senior Project Coordinator,11.0,95000.0
52.0,0,Master's,Director,20.0,200000.0
34.0,0,Bachelor's,Senior Operations Coordinator,7.0,90000.0
43.0,0,PhD,Senior Data Scientist,15.0,150000.0
38.0,0,Master's,Digital Marketing Manager,10.0,90000.0
49.0,0,Master's,Director of Human Capital,21.0,180000.0
33.0,0,Bachelor's,Junior Operations Manager,4.0,60000.0
36.0,0,Bachelor's,Technical Recruiter,8.0,70000.0
37.0,0,Bachelor's,Software Project Manager,9.0,95000.0
38.0,0,Master's,Public Relations Manager,10.0,90000.0
28.0,0,Bachelor's,Junior Business Analyst,2.0,40000.0
44.0,0,PhD,Senior Business Analyst,15.0,150000.0
28.0,0,Bachelor's,Technical Support Specialist,2.0,40000.0
36.0,0,Bachelor's,Senior Business Analyst,8.0,95000.0
26.0,0,Bachelor's,Junior Accountant,1.0,35000.0
46.0,0,Master's,Senior Project Manager,21.0,135000.0
28.0,0,Bachelor's,Junior Operations Analyst,1.5,35000.0
37.0,0,Bachelor's,Senior Marketing Analyst,9.0,100000.0
33.0,0,Bachelor's,Junior Business Analyst,4.0,60000.0
33.0,0,Bachelor's,Junior Operations Manager,5.0,70000.0
44.0,0,PhD,Senior Data Scientist,16.0,160000.0
29.0,0,Bachelor's,Junior Business Operations Analyst,1.5,35000.0
35.0,0,Bachelor's,Senior Business Development Manager,7.0,90000.0
28.0,0,Bachelor's,Junior Operations Manager,1.0,35000.0
45.0,0,PhD,Senior Data Engineer,16.0,150000.0
40.0,0,Bachelor's,Senior Financial Analyst,12.0,130000.0
40.0,0,Bachelor's,Event Coordinator,12.0,60000.0
38.0,0,Bachelor's,Senior Business Analyst,10.0,110000.0
47.0,0,Master's,Director of Finance,20.0,170000.0
47.0,0,Master's,VP of Operations,19.0,190000.0
48.0,0,Master's,Director of HR,20.0,180000.0
46.0,0,PhD,Senior Data Analyst,17.0,160000.0
48.0,0,Master's,Director of Marketing,19.0,170000.0
49.0,0,Master's,Senior Financial Analyst,18.0,150000.0
29.0,0,Bachelor's,Junior Project Manager,2.0,40000.0
47.0,0,PhD,Research Scientist,22.0,160000.0
36.0,0,Bachelor's,Senior Accountant,7.0,90000.0
45.0,0,Bachelor's,Sales Operations Manager,18.0,110000.0
50.0,0,Master's,Director of Finance,20.0,180000.0
40.0,0,Master's,Project Manager,14.0,130000.0
47.0,0,Master's,Director of Marketing,19.0,170000.0
36.0,0,Bachelor's,Senior Operations Manager,9.0,100000.0
31.0,0,Bachelor's,Junior Business Development Associate,3.0,50000.0
44.0,0,PhD,Senior HR Manager,18.0,160000.0
41.0,0,Master's,Senior Human Resources Manager,13.0,120000.0
44.0,0,Bachelor's,Senior Software Engineer,14.0,130000.0
33.0,0,Bachelor's,Business Analyst,7.0,75000.0
38.0,0,Bachelor's,Senior Human Resources Coordinator,10.0,80000.0
43.0,0,Master's,Director of Marketing,18.0,170000.0
35.0,0,Bachelor's,Senior Financial Manager,8.0,90000.0
38.0,0,Master's,Senior IT Consultant,9.0,110000.0
35.0,0,Bachelor's,Senior Marketing Analyst,8.0,85000.0
26.0,0,Bachelor's,Customer Success Rep,1.0,40000.0
47.0,0,Master's,Director of Marketing,19.0,170000.0
33.0,0,Master's,Senior Financial Analyst,6.0,95000.0
39.0,0,Bachelor's,Senior Marketing Specialist,10.0,120000.0
47.0,0,Master's,Director of Operations,19.0,170000.0
39.0,0,Bachelor's,Training Specialist,12.0,65000.0
35.0,0,Bachelor's,Senior Marketing Analyst,8.0,85000.0
31.0,0,Bachelor's,Accountant,4.0,55000.0
43.0,0,Bachelor's,Senior IT Project Manager,14.0,130000.0
39.0,0,Bachelor's,Senior Account Executive,12.0,95000.0
49.0,0,Bachelor's,Sales Executive,21.0,160000.0
31.0,0,Bachelor's,Event Coordinator,5.0,45000.0
30.0,0,Bachelor's,Network Engineer,3.0,60000.0
44.0,0,PhD,Senior Product Designer,15.0,150000.0
35.0,0,Bachelor's,Senior Project Coordinator,9.0,95000.0
38.0,0,PhD,Senior Scientist,10.0,110000.0
51.0,0,Bachelor's,Customer Service Manager,22.0,130000.0
43.0,0,PhD,Senior Product Designer,18.0,140000.0
36.0,0,Bachelor's,Administrative Assistant,8.0,45000.0
37.0,0,Master's,Senior Business Analyst,9.0,105000.0
29.0,0,Bachelor's,Junior Business Development Associate,1.5,35000.0
35.0,0,Bachelor's,Senior Marketing Analyst,8.0,85000.0
23.0,0,Bachelor's,Junior Marketing Analyst,0.5,35000.0
40.0,0,Master's,Senior Training Specialist,12.0,100000.0
44.0,0,Master's,Senior HR Specialist,15.0,140000.0
43.0,0,PhD,Senior Consultant,15.0,140000.0
49.0,0,Master's,Director of Marketing,21.0,180000.0
34.0,0,Master's,Senior Software Developer,8.0,105000.0
41.0,0,Master's,Financial Manager,13.0,140000.0
48.0,0,Master's,Human Resources Director,20.0,180000.0
26.0,0,Bachelor's,Marketing Coordinator,1.0,45000.0
50.0,0,PhD,Director of Sales and Marketing,22.0,180000.0
33.0,0,Master's,Business Intelligence Analyst,7.0,85000.0
45.0,0,PhD,Senior UX Designer,16.0,160000.0
39.0,0,Bachelor's,Marketing Specialist,10.0,65000.0
34.0,0,Master's,Senior Financial Advisor,6.0,100000.0
36.0,0,Bachelor's,Junior Data Analyst,7.0,60000.0
40.0,0,Bachelor's,Senior Marketing Manager,11.0,105000.0
47.0,0,Master's,Director of Marketing,20.0,180000.0
47.0,0,Master's,Director of Business Development,19.0,170000.0
29.0,0,Bachelor's,Junior Business Operations Analyst,1.5,350.0
29.0,0,Bachelor's,Marketing Analyst,2.0,55000.0
50.0,0,Master's,Director of Operations,21.0,160000.0
35.0,0,Bachelor's,Senior Financial Manager,9.0,100000.0
36.0,0,Bachelor's,Senior Marketing Specialist,8.0,95000.0
36.0,0,PhD,Principal Scientist,11.0,120000.0
34.0,0,Bachelor's,Senior Product Manager,7.0,95000.0
45.0,0,Master's,Director of Sales,19.0,175000.0
35.0,0,Bachelor's,Senior Project Coordinator,9.0,95000.0
45.0,0,PhD,Senior Product Designer,15.0,150000.0
34.0,0,Master's,Financial Advisor,10.0,95000.0
46.0,0,PhD,Senior Data Scientist,18.0,160000.0
37.0,0,Bachelor's,Senior Financial Analyst,9.0,100000.0
37.0,0,Bachelor's,Senior Financial Analyst,8.0,90000.0
44.0,0,PhD,Senior Product Designer,15.0,150000.0
40.0,0,Bachelor's,Senior Account Manager,14.0,110000.0
41.0,0,PhD,Senior Marketing Director,17.0,160000.0
34.0,0,Bachelor's,Senior Business Analyst,8.0,90000.0
34.0,0,Master's,Senior Financial Advisor,6.0,100000.0
32.0,0,Master's,Senior Software Engineer,6.0,100000.0
30.0,0,Bachelor's,IT Support,2.0,50000.0
33.0,0,Bachelor's,Junior Product Manager,4.0,60000.0
28.0,0,Bachelor's,Copywriter,2.0,40000.0
46.0,0,Master's,Director of Operations,20.0,170000.0
31.0,0,Bachelor's,Junior Project Manager,3.0,55000.0
41.0,0,Bachelor's,Senior Project Coordinator,11.0,95000.0
29.0,0,Bachelor's,Junior Sales Representative,1.5,40000.0
48.0,0,Master's,Director of Marketing,21.0,180000.0
38.0,0,PhD,Senior Scientist,11.0,120000.0
49.0,0,Master's,Senior HR Manager,19.0,150000.0
31.0,0,Bachelor's,Junior Financial Analyst,3.0,50000.0
48.0,0,PhD,Principal Engineer,20.0,170000.0
29.0,0,Bachelor's,Junior Recruiter,3.0,45000.0
25.0,0,Master's,Junior Marketing Specialist,1.5,40000.0
32.0,0,Bachelor's,Software Engineer,5.0,90000.0
43.0,0,Bachelor's,Senior Project Manager,15.0,120000.0
46.0,0,Bachelor's,IT Manager,19.0,120000.0
25.0,0,Bachelor's,Help Desk Analyst,0.0,35000.0
36.0,0,Bachelor's,Senior Business Development Manager,8.0,110000.0
25.0,0,Bachelor's,Sales Representative,0.0,30000.0
32.0,0,Master's,Senior Business Analyst,6.0,90000.0
44.0,0,Bachelor's,Senior IT Support Specialist,14.0,110000.0
35.0,0,Master's,Product Manager,7.0,105000.0
38.0,0,Bachelor's,Senior Business Analyst,10.0,110000.0
43.0,0,Bachelor's,Supply Chain Manager,18.0,105000.0
41.0,0,Bachelor's,Senior Product Manager,14.0,150000.0
35.0,0,Bachelor's,Senior Financial Manager,9.0,100000.0
38.0,0,Bachelor's,Senior Operations Coordinator,9.0,120000.0
27.0,0,Bachelor's,Technical Writer,2.0,45000.0
35.0,0,Bachelor's,Senior Marketing Analyst,8.0,85000.0
43.0,0,Master's,Director of Marketing,18.0,170000.0
36.0,0,Bachelor's,Senior Marketing Specialist,8.0,95000.0
31.0,0,Bachelor's,Junior Financial Analyst,3.0,50000.0
45.0,0,Bachelor's,Operations Analyst,20.0,110000.0
33.0,0,Bachelor's,Junior Operations Analyst,5.0,50000.0
29.0,0,Bachelor's,Junior Marketing Specialist,2.0,40000.0
26.0,0,Bachelor's,Junior Customer Support Specialist,2.0,35000.0
33.0,0,Bachelor's,Junior Business Analyst,4.0,60000.0
37.0,0,Bachelor's,Senior Financial Manager,10.0,120000.0
38.0,0,Bachelor's,Senior Project Manager,9.0,120000.0
42.0,0,Master's,Creative Director,14.0,120000.0
45.0,0,PhD,Senior Product Designer,15.0,150000.0
27.0,0,Bachelor's,Customer Service Rep,2.0,40000.0
28.0,0,Bachelor's,Junior Software Engineer,2.0,40000.0
28.0,0,Bachelor's,Junior Financial Analyst,2.0,40000.0
46.0,0,Master's,Senior Project Manager,19.0,140000.0
51.0,0,PhD,Director of Human Resources,23.0,185000.0
39.0,0,Master's,Senior Project Coordinator,13.0,80000.0
47.0,0,Bachelor's,Senior Sales Manager,20.0,135000.0
44.0,0,PhD,Chief Data Officer,16.0,220000.0
46.0,0,PhD,Senior Manager,20.0,170000.0
42.0,0,Master's,Senior Human Resources Manager,13.0,140000.0
51.0,0,Bachelor's,Sales Director,22.0,180000.0
47.0,0,PhD,Senior Research Scientist,22.0,160000.0
29.0,0,Bachelor's,Marketing Analyst,3.0,50000.0
42.0,0,Bachelor's,Senior Project Manager,12.0,120000.0
31.0,0,Bachelor's,Junior Financial Analyst,3.0,50000.0
36.0,0,Master's,Senior Business Development Manager,11.0,120000.0
39.0,0,Bachelor's,Senior Operations Manager,10.0,120000.0
34.0,0,Bachelor's,Senior Quality Assurance Analyst,9.0,100000.0
45.0,0,PhD,Research Director,16.0,190000.0
29.0,0,Bachelor's,Junior Project Manager,2.0,40000.0
45.0,0,Master's,Senior HR Manager,14.0,140000.0
26.0,0,Master's,Junior Data Scientist,1.5,45000.0
52.0,0,PhD,Chief Technology Officer,24.0,250000.0
35.0,0,Bachelor's,Senior Marketing Analyst,8.0,85000.0
50.0,0,Bachelor's,CEO,25.0,250000.0
28.0,0,Bachelor's,Customer Success Manager,2.0,40000.0
32.0,0,Bachelor's,Account Manager,5.0,75000.0
29.0,0,Bachelor's,Graphic Designer,3.0,50000.0
35.0,0,Bachelor's,HR Generalist,7.0,60000.0
33.0,0,Bachelor's,Junior Product Manager,4.0,60000.0
35.0,0,Bachelor's,Senior Marketing Analyst,8.0,85000.0
29.0,0,Master's,Data Scientist,3.0,75000.0
40.0,0,Bachelor's,Senior Sales Representative,12.0,100000.0
44.0,0,Bachelor's,Operations Manager,16.0,125000.0
33.0,0,Bachelor's,Junior Marketing Specialist,5.0,70000.0
44.0,0,PhD,Senior Business Analyst,15.0,150000.0
35.0,0,Bachelor's,Senior Operations Analyst,8.0,85000.0
32.0,0,Bachelor's,Junior Product Manager,4.0,65000.0
36.0,0,Bachelor's,Senior Marketing Manager,8.0,95000.0
36.0,0,Bachelor's,Sales Manager,9.0,95000.0
34.0,0,Master's,Business Development Manager,8.0,90000.0
49.0,0,Master's,Director of Marketing,21.0,180000.0
44.0,0,PhD,Senior Business Analyst,15.0,150000.0
30.0,0,Bachelor's,Junior Marketing Specialist,3.0,45000.0
42.0,0,Bachelor's,Sales Manager,17.0,100000.0
44.0,0,Bachelor's,Senior Software Engineer,13.0,130000.0
48.0,0,Master's,Operations Director,18.0,190000.0
32.0,0,Bachelor's,Junior Financial Advisor,4.0,65000.0
36.0,0,Bachelor's,Senior Marketing Specialist,8.0,85000.0
31.0,0,Bachelor's,Junior Accountant,4.0,50000.0
